fifo,distance_bin,split,frames,target_point_recall,matched_cluster_precision,matched_cluster_f1,target_detection_rate,fragmented_frame_rate,runtime_mean_ms,runtime_p95_ms,selection_score
2,100_200m,development,221,0.8503225806451613,0.8812516715699384,0.865510900971894,0.9638009049773756,0.3031674208144796,6.243205371040724,8.821039,0.8572693777434002
2,100_200m,held_out,147,0.8721694667640614,0.9090216977540921,0.8902143522833178,0.9387755102040817,0.09523809523809523,5.795445244897959,8.811508700000001,0.8905126541417401
2,000_100m,held_out,190,0.9578795643818065,0.8625612921834439,0.9077249962057976,1.0,0.021052631578947368,8.25585825263158,10.690667,0.9253861406954008
2,000_100m,development,197,0.8868720979316167,0.9418708906156605,0.9135444597434597,1.0,0.01015228426395939,7.900236436548224,10.650435,0.9309830218065795
2,200_261m,held_out,84,0.7365269461077845,0.968503937007874,0.836734693877551,0.9047619047619048,0.10714285714285714,4.433673154761905,5.985018299999999,0.8412537416224489
2,200_261m,development,126,0.678743961352657,0.9477234401349073,0.7909922589725545,0.8968253968253969,0.1111111111111111,4.309899087301587,5.43014375,0.8046154726897333
2,261m_plus,held_out,28,0.3130841121495327,0.9178082191780822,0.4668989547038327,0.6428571428571429,0.0,3.715887964285714,4.54274835,0.509402146556446
2,261m_plus,development,20,0.44036697247706424,1.0,0.6114649681528662,0.6,0.0,3.9630784999999995,4.79973705,0.6070134947146497
5,100_200m,development,221,0.8921290322580645,0.8743045017703591,0.8831268361221101,0.9909502262443439,0.3393665158371041,8.44482205882353,11.56299,0.8727681032454288
5,100_200m,held_out,147,0.8886048210372535,0.9047973224246932,0.896627971254837,0.9795918367346939,0.1292517006802721,8.099181816326531,12.111652399999997,0.9012040948302433
5,000_100m,held_out,190,0.9596412556053812,0.8614146060954572,0.907878787878788,1.0,0.010526315789473684,13.358411878947368,17.08691445,0.9245130945785646
5,000_100m,development,197,0.8878570423526101,0.9392676391783269,0.9128390596745027,1.0,0.005076142131979695,12.359483101522844,17.0170938,0.92917788730207
5,200_261m,held_out,84,0.7649700598802395,0.9714828897338403,0.8559463986599665,0.9523809523809523,0.27380952380952384,5.572861714285715,7.45216875,0.8504449400235462
5,200_261m,development,126,0.7222222222222222,0.9417322834645669,0.8174982911825016,0.9841269841269841,0.46825396825396826,5.5839982698412705,7.4836225,0.8100964682852889
5,261m_plus,held_out,28,0.38317757009345793,0.9534883720930233,0.5466666666666666,0.8214285714285714,0.2857142857142857,4.824466,5.88713715,0.5848559278857143
5,261m_plus,development,20,0.5504587155963303,1.0,0.7100591715976332,0.8,0.3,4.75686315,5.6516481,0.7006416334382248
7,100_200m,development,221,0.9027096774193548,0.8707991038088125,0.8864673086670045,0.995475113122172,0.3393665158371041,9.53900342081448,13.460801,0.8759670068287602
7,100_200m,held_out,147,0.8926223520818115,0.9041805401405846,0.8983642712736629,0.9931972789115646,0.16326530612244897,9.1429168707483,14.3509332,0.9020888258225942
7,000_100m,held_out,190,0.9596412556053812,0.8614146060954572,0.907878787878788,1.0,0.010526315789473684,16.692472152631577,22.310451699999998,0.9231794704690909
7,000_100m,development,197,0.8878570423526101,0.9392676391783269,0.9128390596745027,1.0,0.005076142131979695,15.479591436548224,21.498818399999998,0.9279298439680598
7,200_261m,held_out,84,0.7874251497005988,0.9704797047970479,0.8694214876033057,0.9642857142857143,0.2857142857142857,5.698370845238095,8.3131591,0.862286767364384
7,200_261m,development,126,0.7620772946859904,0.9389880952380952,0.8413333333333333,0.9920634920634921,0.4603174603174603,5.743000595238094,7.62778725,0.8306869267460317
7,261m_plus,held_out,28,0.411214953271028,0.9565217391304348,0.5751633986928104,0.8928571428571429,0.39285714285714285,4.811507607142857,5.85275285,0.6133765174053222
7,261m_plus,development,20,0.5321100917431193,1.0,0.6946107784431138,0.8,0.4,4.534078150000001,5.620243,0.6791444525723352
